elem_point_id,code,nom,genre,genre_desc,categorie,categorie_desc,sous_categorie,sous_categorie_desc,code_parent,code_parent_desc,adr_secteur,bien_reference,genre_bota,espece,variete,stadededeveloppement,equipe,remarques,anneedeplantation,raisondeplantation,traitementchenilles,courrier,identifiantplu,typeimplantationplu,intituleprotectionplu,anneeabattage,essouchement,diametrearbre,causeabattage,collectivite,stationmetro,hauteurarbre,portarbre,structure,forme,typenature,geo_point_2d
20813,ESP7164,AR7164,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP499,Cargo park R P Claudel,4,AR7164,Acer,cappadocicum,Rubrum,Arbre jeune,,,2003,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.17193661974101,5.732816667476577"
20818,ESP7165,AR7165,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP878,Parc Soulage,4,AR7165,Magnolia,grandiflora,,Arbre vieillissant,,"Cavité ouverte bien compensée, très gros diamètre",1966,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,Libre,Ville de Grenoble,,Libre,"45.17540987815635,5.738333567918692"
20822,ESP7166,AR7166,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP878,Parc Soulage,4,AR7166,Acer,negundo,,Arbre adulte,,,1966,,,,,,,,,,,Ville de Grenoble,,de 10 m à 20 m,,Ville de Grenoble,Tige,,"45.1752666956297,5.738814348081487"
20827,ESP7167,AR7167,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP878,Parc Soulage,4,AR7167,Fraxinus,excelsior,,Arbre adulte,,,1966,,,,,,,,,,,Ville de Grenoble,,Plus de 20 m,,Ville de Grenoble,,,"45.17509795465877,5.7393770236692605"
20832,ESP7168,AR7168,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP407,R Stalingrad park clos d'or,4,AR7168,Platanus,acerifolia,,Arbre vieillissant,,Cavité axe 2,1978,,,,,,,,,,,Ville de Grenoble,,Plus de 20 m,Architecturé,Ville de Grenoble,,Architecturé,"45.17148596938563,5.724429473669119"
20836,ESP7169,AR7169,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP501,R H de Balzac ang Alliés,4,AR7169,Platanus,acerifolia,,Arbre adulte,,Caviré ouverte au niveau de l'insetion des 2 charpentières : risque de rupture,1971,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17347777662264,5.719652336492906"
20845,ESP7171,AR7171,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP409,Ch Chapitre ang Stat Ponsard,4,AR7171,Ailanthus,altissima,,Arbre vieillissant,,,2000,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,de 10 m à 20 m,Architecturé,Métropole de Grenoble,,Architecturé,"45.17576268650471,5.73963553982352"
20850,ESP7172,AR7172,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1364,R Emile Romanet n 22 à 26,4,AR7172,Betula,pendula,,Arbre jeune,,,1983,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17436373148143,5.74136751302436"
20862,ESP7174,AR7174,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1089,Prc Pompidou abords boulodrome,4,AR7174,Pinus,sylvestris,,Arbre adulte,,plaies de taille au tronc  - petit bois mort - chicot de bois mort - banc à proximité.,1987,,Haute,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,,,"45.177224826137696,5.721564819740419"
20866,ESP7175,AR7175,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP1089,Prc Pompidou abords boulodrome,4,AR7175,Celtis,australis,,Arbre adulte,,MODIF,2005,,,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,Tige,,"45.17712866755863,5.721385941039306"
20871,ESP7176,AR7176,VEG,VEGETATION,ESP01,Arbre,ESP187,Bois semi naturel,ESP1090,Prc Pompidou long voie ferrée,4,AR7176,Acer,platanoides,,Arbre adulte,,,1987,,,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,Tige,,"45.17731340336357,5.721686841677146"
20875,ESP7177,AR7177,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP733,Park Mallifaud ang P Janet,4,AR7177,Carpinus,betulus,Pyramidalis,Arbre adulte,,MODIF,1973,,,,,Isolé,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Libre,Métropole de Grenoble,,Libre,"45.18081561476669,5.728583481936356"
20880,ESP7178,AR7178,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP734,R de la Bajatière,4,AR7178,Acer,saccharinum,Wierii,Arbre adulte,,,1977,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.1793835952014,5.740755217971438"
20885,ESP7179,AR7179,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP674,R des Alliés Reynoard Flaubert,4,AR7179,Platanus,acerifolia,,Arbre adulte,,,1965,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.170232241247184,5.728631321614968"
20894,ESP7181,AR7181,VEG,VEGETATION,ESP01,Arbre,ESP187,Bois semi naturel,ESP1090,Prc Pompidou long voie ferrée,4,AR7181,Carpinus,betulus,,,,,1987,,,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,,,"45.1772723363151,5.721713050204355"
20898,ESP7182,AR7182,VEG,VEGETATION,ESP01,Arbre,ESP187,Bois semi naturel,ESP1090,Prc Pompidou long voie ferrée,4,AR7182,Carpinus,betulus,,Arbre adulte,,,1987,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,,Ville de Grenoble,,,"45.17720920748838,5.72189426898975"
20903,ESP7183,AR7183,VEG,VEGETATION,ESP01,Arbre,ESP187,Bois semi naturel,ESP1090,Prc Pompidou long voie ferrée,4,AR7183,Carpinus,betulus,,Arbre adulte,,,1987,,,,,,,,,,,Ville de Grenoble,,,,Ville de Grenoble,,,"45.177135142166954,5.7219669054537965"
20908,ESP7184,AR7184,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP881,R Stalingrad Balzac à Alliés,4,AR7184,Cupressus,sempervirens,Glauca,Arbre adulte,,,1990,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17348278869785,5.724833656234997"
20914,ESP7185,AR7185,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP888,R Alliés Marquiand  Matussière,4,AR7185,Platanus,acerifolia,,Arbre adulte,,,1974,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17313800181306,5.719153142194254"
20919,ESP7186,AR7186,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP674,R des Alliés Reynoard Flaubert,4,AR7186,Platanus,acerifolia,,Arbre adulte,,,1965,,,,,,,,,,,Grenoble Alpes Métropole,,Plus de 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.16980317002982,5.729771223410648"
16050,ESP6124,AR6124,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP81,Allée Vaucanson,3,AR6124,Koelreuteria,paniculata,,Arbre adulte,,,2011,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.172116299860164,5.71025019585359"
16055,ESP6125,AR6125,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP81,Allée Vaucanson,3,AR6125,Koelreuteria,paniculata,,Arbre adulte,,,2010,,,,130,Alignement,L 123-1.7,,,,,Grenoble Alpes Métropole,Alignement,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17222576630902,5.71192526115085"
16078,ESP6130,AR6130,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1227,Crs Libération Reynier Vaujany,3,AR6130,Platanus,acerifolia,,Arbre jeune,,,2001,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Libre,Métropole de Grenoble,,Libre,"45.16339794383,5.710617255206875"
16082,ESP6131,AR6131,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1227,Crs Libération Reynier Vaujany,3,AR6131,Platanus,acerifolia,,Arbre adulte,,,2001,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.16319449975013,5.710459849077579"
16091,ESP6132,AR6132,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP306,Ave Ronsard,3,AR6132,Platanus,acerifolia,,Arbre adulte,,,1965,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.16922075930445,5.711112981311217"
16094,ESP6133,AR6133,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP366,Bd Mal Foch n 57 59,3,AR6133,Liquidambar,styraciflua,,Arbre jeune,,,2001,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.18029968280915,5.717649529942951"
16098,ESP6134,AR6134,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1228,Cité Mistral R P Strauss,3,AR6134,Acer,pseudoplatanus,,Arbre adulte,,,1990,,,,,,,,,,,Ville de Grenoble,,Moins de 10 m,Libre,Ville de Grenoble,Tige,Libre,"45.16863207408147,5.704657627582206"
16103,ESP6135,AR6135,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP368,Cité Mistral R A Thomas boules,3,AR6135,Platanus,acerifolia,,Arbre jeune,,,1960,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.17012180232258,5.702260232961945"
16112,ESP6137,AR6137,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP144,Crs Libération Rondeau Ec Libé,3,AR6137,Platanus,acerifolia,,Arbre adulte,,,2001,,,,,,,,,,,Grenoble Alpes Métropole,Alignement,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.15979343537387,5.709765783089616"
16126,ESP6140,AR6140,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP116,Crs Libération Beauvert Alliés,3,AR6140,Platanus,acerifolia,,Arbre adulte,,,1990,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Libre,Métropole de Grenoble,,Libre,"45.17017267564456,5.713165642640171"
16131,ESP6141,AR6141,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP116,Crs Libération Beauvert Alliés,3,AR6141,Platanus,acerifolia,,Arbre jeune,,,1990,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,,,"45.17276672663072,5.714138068929721"
16135,ESP6142,AR6142,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP599,R Vaujany Dagalier au terminus,3,AR6142,Alnus,cordata,,Arbre adulte,,,2001,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.16127965621209,5.7062869050678975"
16140,ESP6143,AR6143,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP310,R Louise Michel,3,AR6143,Fraxinus,velutina,,Arbre jeune,,,2009,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.1682100407808,5.706959461033949"
16144,ESP6144,AR6144,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP835,R Martin Lutherking,3,AR6144,Gleditsia,triacanthos,Inermis skyline,Arbre jeune,,,2009,,,,,,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.173010853657146,5.706346565579587"
16149,ESP6145,AR6145,VEG,VEGETATION,ESP01,Arbre,ESP174,Arbre d'espaces ouverts,ESP20,Al Léopold Sédar Senghore,3,AR6145,Cercis,siliquastrum,,Arbre adulte,,,2010,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17349934725395,5.706990768748852"
16154,ESP6146,AR6146,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1331,Le Rondeau coté impair,3,AR6146,Platanus,acerifolia,,Arbre adulte,,,2001,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.15929822305734,5.709673927369787"
16165,ESP6148,AR6148,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP987,R A France pk Vaucanson Camine,3,AR6148,Platanus,acerifolia,,Arbre jeune,,,1980,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17307149271728,5.710791780740778"
16174,ESP6151,AR6151,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP601,R Capitaine Camine CODASE,3,AR6151,Acer,saccharinum,Wierii,Arbre adulte,,,1983,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.1735401569684,5.712170394399409"
16176,ESP6152,AR6152,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1335,R Capitaine Camine park ,3,AR6152,Platanus,acerifolia,,Arbre adulte,,,1981,,,,,,,,,,,Grenoble Alpes Métropole,,Plus de 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17356995593732,5.712322755923951"
16178,ESP6153,AR6153,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1230,R Cdt Nal,3,AR6153,Acer,platanoides,,Arbre adulte,,,1975,,,,,,,,,,,Grenoble Alpes Métropole,,,,Métropole de Grenoble,Tige,,"45.16494429600576,5.708024823158035"
16180,ESP6154,AR6154,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1230,R Cdt Nal,3,AR6154,Acer,platanoides,,Arbre adulte,,,1975,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,Tige,Semi-libre,"45.16467349943312,5.707960021333012"
16183,ESP6155,AR6155,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP1231,R Corot,3,AR6155,Platanus,acerifolia,,Arbre adulte,,,1975,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.16820620692176,5.710053571764212"
16185,ESP6156,AR6156,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP372,R E Claires Rh Danube Césaire,3,AR6156,Carpinus,betulus,Pyramidalis,Arbre adulte,,,1994,,,,,,,,,,,Grenoble Alpes Métropole,,de 10 m à 20 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.173993774619134,5.706404627408211"
16187,ESP6157,AR6157,VEG,VEGETATION,ESP01,Arbre,ESP151,Arbre de voirie,ESP372,R E Claires Rh Danube Césaire,3,AR6157,Carpinus,betulus,Pyramidalis,Arbre adulte,,,2005,,,,,Alignement,,,,,,Grenoble Alpes Métropole,,Moins de 10 m,Semi-libre,Métropole de Grenoble,,Semi-libre,"45.17401200967463,5.705730782159016"
